topic_id,topic_name,scope,priority,status,owner,source_prompt,next_action,notes
R-TOPIC-001,Master landscape for DNA Calc,Overall research map and reading order,high,synthesized,@govert,Run 1 in prompts/PROMPT_PACK_DEEP_RESEARCH.md,Track remaining gaps in notes/RESEARCH_NOTES.md,Synthesized in run 20260222-152845-foundation-pass-02-prompt-and-research
R-TOPIC-002,Concurrency protocol and MVCC epochs,TLA+ and scheduling correctness focus,high,synthesized,@govert,Run 2 in prompts/PROMPT_PACK_DEEP_RESEARCH.md,Track remaining gaps in notes/RESEARCH_NOTES.md,Synthesized in run 20260222-152845-foundation-pass-02-prompt-and-research
R-TOPIC-003,Agentic coding tooling and resilient sync design,Deep investigation of asupersync design and development process for transferable engine properties,high,synthesized,@govert,Targeted internal deep dive run,Track remaining gaps in notes/RESEARCH_NOTES.md,Synthesized in run 20260222-152845-foundation-pass-02-prompt-and-research
R-TOPIC-004,Design for Evolution patterns from OpenClaw,Investigate framework properties that support robustness evolvability and long-horizon system design,high,pending,@govert,Targeted follow-up after Runs 1 and 2,Prepare focused prompt and source packet,Use as inspiration for DNA Calc design-for-evolution doctrine
R-TOPIC-005,Spreadsheet implementation and extension research,Track academic and practical work on spreadsheet implementation language and extension models,high,pending,@govert,Targeted follow-up after Runs 1 and 2,Prepare focused prompt and source packet,Seed focus Peter Sestoft and related student projects
R-TOPIC-006,Spreadsheet systems landscape beyond Excel,Gather architecture and capability notes on major spreadsheet systems beyond Excel,high,pending,@govert,Targeted follow-up after Runs 1 and 2,Prepare focused prompt and source packet,Seed focus OpenOffice Calc and WPS Spreadsheet plus additional systems
R-TOPIC-007,Jane Street OCaml stack and Incremental architecture,Broad current-state sweep of Jane Street OCaml ecosystem with OxCaml evolution focus and deep Incremental implementation analysis,high,synthesized,@govert,Targeted internal deep research run,Track remaining gaps in notes/RESEARCH_NOTES.md,Synthesized in run 20260222-152845-foundation-pass-02-prompt-and-research
R-TOPIC-008,Excel compatibility spec index (worksheet engine),Exhaustive post-2007 coverage index for formula language built-ins value types tables and formatting,high,synthesized,@govert,research/runs/20260228-130325-excel-compat-spec-index-pass-01/inputs/prompt_01_landscape.txt,Bind implementation and conformance tests to XLS-CF requirement ids and refresh provisional lanes on cadence,Synthesized through runs 20260228-130325 and 20260301-135600 with authoritative conformance corpus in reference/conformance/excel-worksheet-engine and promoted EMP findings


